SEF	1.0.0
ID	DRain_1911-1920_RainNos_Kent_F-P-210
Name	WOODCHURCH-HENGHERST
Lat	51.0937
Lon	0.7862
Alt	46.3
Source	UK Daily Rainfall Registers
Link	https://brohan.org/Auto-Daily-Rainfall-QC/
Vbl	rr
Stat	sum
Units	mm
Meta	orig.units=in|match.type=exact|qc.session=1|n.sources=2|sources=DRain_1911-1920_RainNos_Kent_F-P-210,DRain_1911-1920_RainNos_Kent_F-P_B026-6
Year	Month	Day	Hour	Minute	Period	Value	Meta
1919	1	1	9	0	1day	3.6	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	1	2	9	0	1day	4.1	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	1	3	9	0	1day	6.6	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	1	4	9	0	1day	6.6	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	1	5	9	0	1day	1.3	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	1	6	9	0	1day	3.0	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	1	7	9	0	1day	1.0	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	1	8	9	0	1day	6.3	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	1	9	9	0	1day	7.6	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	1	10	9	0	1day	15.2	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	1	11	9	0	1day	13.5	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	1	12	9	0	1day	2.5	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	1	13	9	0	1day	0.5	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	1	14	9	0	1day	5.3	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	1	15	9	0	1day	2.5	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	1	16	9	0	1day	4.1	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	1	17	9	0	1day	2.5	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	1	18	9	0	1day	0.0	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	1	19	9	0	1day	0.0	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	1	20	9	0	1day	3.3	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	1	21	9	0	1day	0.3	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	1	22	9	0	1day	0.5	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	1	23	9	0	1day	0.0	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	1	24	9	0	1day	0.0	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	1	25	9	0	1day	1.3	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	1	26	9	0	1day	1.0	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	1	27	9	0	1day	7.9	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	1	28	9	0	1day	0.5	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	1	29	9	0	1day	2.5	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	1	30	9	0	1day	0.0	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	1	31	9	0	1day	3.3	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	2	1	9	0	1day	1.3	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	2	2	9	0	1day	0.0	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	2	3	9	0	1day	0.0	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	2	4	9	0	1day	0.0	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	2	5	9	0	1day	9.7	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	2	6	9	0	1day	0.8	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	2	7	9	0	1day	0.0	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	2	8	9	0	1day	0.0	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	2	9	9	0	1day	0.0	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	2	10	9	0	1day	0.0	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	2	11	9	0	1day	0.0	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	2	12	9	0	1day	0.0	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	2	13	9	0	1day	0.5	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	2	14	9	0	1day	2.5	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	2	15	9	0	1day	11.2	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	2	16	9	0	1day	9.1	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	2	17	9	0	1day	2.5	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	2	18	9	0	1day	2.8	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	2	19	9	0	1day	2.3	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	2	20	9	0	1day	8.6	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
1919	2	21	9	0	1day	1.0	qc1=fail|qc2=pass|source=DRain_1911-1920_RainNos_Kent_F-P-210
